ingredient,count,name
california poppy,251,"California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy liquid extract,certified organic California Poppy extractives,California Poppy whole flowering plant (Eschscholzia californica) extract,California Poppy whole flowering plant extract,California Poppy liquid extract,certified organic California Poppy extractives,California Poppy liquid extract,certified organic California Poppy extractives,California Poppy (Eschscholzia californica cham.) (aerial part) extract,California Poppy Liquid Extract,California Poppy extractives,California Poppy,California Poppy Liquid Extract,California Poppy extractives,fresh California Poppy,fresh organic California Poppy,California Poppy Liquid Extract,California Poppy extractives,California Poppy (Eschscholzia californica)(aerial part) Extract,fresh California Poppy whole plant extract,fresh organic California Poppy,California Poppy,fresh California Poppy whole plant extract,certified organic California Poppy extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,organic fresh California Poppy,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,organic fresh California Poppy,California Poppy top and root extract,organic California Poppy (Eschscholzia californica) whole plant extract,organic California Poppy (Eschscholzia californica) whole plant extract,certified organic California Poppy extract,certified organic California Poppy (Eschscholzia californica) dried above-ground parts of the plant extract,organic fresh California Poppy,California Poppy herb and root extract,certified organic California Poppy (Eschscholzia californica) dried above-ground parts of the plant extract,certified organic California Poppy (Eschscholzia californica) dried above-ground parts liquid extract,certified organic California Poppy (Eschscholzia californica) dried seed liquid extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,certified organic California Poppy (Eschscholzia californica) dried above-ground parts liquid extract,certified organic California Poppy (Eschscholzia californica) dried seed liquid extract,California Poppy,California Poppy,California Poppy,California Poppy Whole Plant Extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,California Poppy Seed Extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,certified organic California Poppy (Eschscholzia californica) dried above-ground parts of the plant extract,organic fresh California Poppy,certified organic California Poppy extract,certified organic California Poppy (Eschscholzia californica) dried above-ground parts of the plant extract,certified organic California Poppy extract,California Poppy Seed Extract,California Poppy,certified organic California Poppy extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy (Eschscholzia californica) dried aerial parts extract,California Poppy,California Poppy,California Poppy,certified organic California Poppy extract,California Poppy,California Poppy,California Poppy Extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy extract,certified organic California Poppy powder extract,California Poppy Aerial Parts Extract,California Poppy Extract,certified organic California Poppy extract,certified organic California Poppy extract,California Poppy Extract,California Poppy Seed Extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,California Poppy Extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,infusion (1:6000) of Eschscholzia californica,infusion (1:6000) of Eschscholzia californica,California Poppy Seed Extract,California Poppy Extract,California Poppy Aerial Parts Extract,California Poppy Extract,certified organic California Poppy extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,California Poppy (Eschscholzia californica) leaf extract,California Poppy (Eschscholzia californica) leaf extract,California Poppy [herb] 5:1 extract,California Poppy (Eschscholzia californica) leaf extract,California Poppy (Eschscholzia californica) leaf extract,California Poppy Extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,California Poppy Extract,California Poppy Aerial Parts Extract,California Poppy Aerial Parts Extract,California Poppy Extract,California Poppy Extract,California Poppy Extract,California Poppy (Eschscholzia californica) leaf extract,California Poppy Aerial Parts Extract,California Poppy Extract,California Poppy Extract,California Poppy Aerial Parts Extract,freeze-dried extract of California Poppy,freeze-dried extract of California Poppy,California Poppy Extract,California Poppy Aerial Parts Extract,freeze-dried extract of California Poppy,freeze-dried extract of California Poppy,California Poppy,California Poppy,freeze-dried extract of California Poppy,California Poppy,freeze-dried extract of California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,fresh California Poppy extract,fresh California Poppy extract,fresh California Poppy extract,fresh California Poppy extract,fresh California Poppy extract,fresh California Poppy extract,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,fresh California Poppy extract,California Poppy [herb] 5:1 extract,organic California Poppy (Eschscholzia californica) whole plant extract,organic California Poppy (Eschscholzia californica) whole plant extract,California Poppy [herb] 5:1 extract,organic California Poppy whole plant extract,California Poppy (Eschscholzia californica) leaf extract,California Poppy Herb Extract,California Poppy [flower] 5:1 extract,California Poppy Herb Extract,organic California Poppy whole plant extract,California Poppy Whole Plant Extract,fresh California Poppy,fresh California Poppy,fresh California Poppy,California Poppy 4:1 extract,California Poppy Whole Plant Extract,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,organic California Poppy whole plant extract,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,fresh California Poppy,Fresh California Poppy,California Poppy whole flowering plant extract,fresh flowering California Poppy,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,fresh flowering California Poppy,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,fresh California Poppy extract,fresh flowering California Poppy,fresh flowering California Poppy,fresh California Poppy,fresh flowering California Poppy,fresh flowering California Poppy,fresh flowering California Poppy,California Poppy Leaf Extract,California Poppy whole plant extract,California Poppy extract,California Poppy extract,California Poppy extract,California Poppy aerial extract,California Poppy aerial extract,California Poppy aerial extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,California poppy whole plant extract,California Poppy whole flowering plant extract,California Poppy whole flowering plant extract,Eschscholzia californica,California Poppy,California Poppy,California Poppy,Eschscholzia californica,Eschscholzia californica,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy,California Poppy flower tops freeze-dried extract and powder"
water,169,"distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,Water,distilled Water,distilled Water,distilled Water,Water,distilled Water,purified Water,distilled Water,distilled Water,Water,distilled Water,artesian Hawaiian purified Water,deionized Water,deionized Water,Water,Water,Water,artesian Hawaiian purified Water,deionized Water,Water,purified Water,Water,purified Water,Water,Water,Water,Water,deionized Water,crystal clear artesian Hawaiian Water,Water,Spring Water,crystal clear artesian Hawaiian Water,crystal clear artesian Hawaiian Water,filtered Water,Water,Water,Water,crystal clear artesian Hawaiian Water,crystal clear artesian Hawaiian Water,crystal clear artesian Hawaiian Water,crystal clear artesian Hawaiian Water,crystal clear artesian Hawaiian Water,crystal clear artesian Hawaiian Water,Water,Water,crystal clear artesian Hawaiian Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,crystal clear artesian Hawaiian Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,distilled Water,Water,Water,distilled Water,Water,Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,purified Water,purified Water,purified Water,distilled Water,distilled Water,distilled Water,purified Water,Water,Water,Water,Water,Water,Water,purified Water,purified Water,purified Water,Water,deionized Water,purified Water,purified Water,purified Water,Water,purified Water,purified Water,deionized Water,purified Water,purified Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,purified Water,deionized Water,Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,distilled Water,purified Water,Water,Water,purified Water,purified Water,spring Water,Spring Water,Water,distilled Water,Water,spring Water,Water"
glycerol,122,"Vegetable Palm Glycerin,Vegetable Palm Glycerin,USP Grade Vegetable Glycerin,USP Grade Vegetable Glycerin,Glycerin,Glycerin,Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Glycerin,Glycerin,Vegetable Palm Glycerin,Vegetable Palm Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Vegetable Palm Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,certified organic Vegetable Glycerin,Vegetable Glycerin,pure Vegetable Glycerin,Vegetable Glycerin,Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,Vegetable Glycerine,Vegetable Glycerine,Vegetable Glycerine,certified organic Vegetable Glycerin,Vegetable Glycerin,Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,Vegetable Glycerin,Vegetable Glycerine,Vegetable Glycerin,Vegetable Glycerin,Vegetable Glycerin,Vegetable Glycerin,Glycerin,Vegetable Glycerine,Vegetable Glycerine,Vegetable Glycerine,Glycerin,Vegetable Glycerine,Vegetable Glycerine,Vegetable Glycerine,Vegetable Glycerin,Vegetable Glycerine,Vegetable Glycerine,Vegetable Glycerine,Vegetable Glycerine,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,Vegetable Glycerine,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,certified organic Vegetable Glycerin,Glycerin,Vegetable Glycerin,Glycerin,Vegetable Glycerin,organic Vegetable Glycerin,Glycerin,Glycerin,Glycerin,Glycerin,Glycerin"
passionflower,106,"Passionflower,certified organic Passionflower (Passiflora incarnata) dried leaves and stems extract,certified organic Passionflower (Passiflora incarnata) dried herb extract,certified organic Passionflower (Passiflora incarnata) dried leaves and stems extract,certified organic Passionflower extract,certified organic Passionflower (Passiflora incarnata) dried herb extract,Passionflower,certified organic Passionflower extract,certified organic Passion Flower extract,certified organic Passion Flower extract,Passionflower Herb Extract,Passionflower Herb Extract,Passionflower Herb Extract,Passionflower,Passionflower Herb Extract,Passionflower Herb Extract,Passionflower Herb Extract,Passionflower,Passion Flower,Passionflower,Passion Flower,Passionflower,Passionflower,Passionflower,Passionflower,Passionflower,Passionflower,Passionflower,Passionflower,Passionflower,fresh Passionflower extract,fresh Passionflower extract,fresh Passionflower extract,fresh Passionflower extract,fresh Passionflower extract,fresh Passionflower extract,Passionflower,Passionflower,Passionflower,Passionflower,fresh Passionflower extract,organic Passionflower (Passiflora incarnata) flowering vine extract,organic Passionflower (Passiflora incarnata) flowering vine extract,organic Passionflower flowering vine extract,Passionflower Herb Extract,organic Passionflower flowering vine extract,Passionflower flowering vine extract,fresh Passionflower,fresh Passionflower,fresh Passionflower,Passionflower flowering vine extract,fresh Passionflower,Passion Flower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,fresh Passionflower,Passion Flower,Passion Flower,fresh Passionflower,fresh Passionflower,Passion Flower,fresh Passionflower,Passionflower extract,fresh Passionflower,Passionflower extract,Passionflower extract,fresh Passionflower extract,fresh Passionflower,fresh Passionflower,Passion Flower,fresh Passionflower,fresh Passionflower,fresh Passionflower,Passionflower herb extract,Passionflower extract,Passionflower extract,Passionflower extract,Passion Flower aerial extract,Passion Flower aerial extract,Passion Flower aerial extract,Passionflower extract,Passionflower extract,Passionflower flowering aerial parts extract,Passionflower extract,Passionflower extract,Passion flower,Passionflower aerial parts extract,Passionflower aerial parts extract,Passionflower,Passionflower,Passion Flower,Passionflower,Passionflower,Passion flower,Passionflower,Passion Flower,Passionflower leaf multi-fraction freeze-dried extract"
alcohol,93,"certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Alcohol,certified organic Cane Alcohol,Cane Alcohol,certified organic Alcohol,certified organic Alcohol,certified organic grain Alcohol,Alcohol,certified organic grain Alcohol,40% Grain Alcohol,organic Alcohol,certified organic grain Alcohol,Ethyl Alcohol,organic Alcohol,Alcohol,Ethyl Alcohol,pharmaceutical grade Alcohol,Grain Alcohol,Grain Alcohol,Alcohol,Alcohol,Alcohol,pharmaceutical grade Alcohol,Grain Alcohol,pure grain Alcohol USP,Cane Alcohol,Alcohol,Ethyl Alcohol,Ethyl Alcohol,Alcohol,Grain Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Alcohol,Ethyl Alcohol,Alcohol,Ethyl Alcohol,Ethyl Alcohol,Alcohol,Ethyl Alcohol,Alcohol,Ethyl Alcohol,Ethyl Alcohol,Ethyl Alcohol,Alcohol,Ethyl Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,U.S. Pharmacopoeial Alcohol,U.S. Pharmacopoeial Alcohol,Cane Alcohol,Cane Alcohol,31-41% U.S. Pharmacopoeial Alcohol,31-41% U.S. Pharmacopoeial Alcohol,60% Grain Alcohol,Grain Alcohol,31-41% U.S. Pharmacopoeial Alcohol,60% Grain Alcohol,60% Grain Alcohol,Grain Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,U.S. Pharmacopoeial Alcohol,Grain Alcohol,Ethyl Alcohol,certified organic Cane Alcohol,certified organic Cane Alcohol,Alcohol,35-40% organic Alcohol,Alcohol"
proprietary blend (herb/botanical),71,"Proprietary Extract Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Blend,Proprietary Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Herbal Extracts Blend,Proprietary Extract Blend (Herb/Botanical),Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Extract Blend (Herb/Botanical),Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Synergistic Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Extract Blend,Proprietary Blend (Herb/Botanical),Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend (Herb/Botanical),Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend (Herb/Botanical),Proprietary Blend,Proprietary Blend"
valerian,69,"certified organic Valerian (Valeriana officinalis) dried root extract,certified organic Valerian (Valeriana officinalis) dried root extract,certified organic Valerian extract,Valerian,certified organic Valerian extract,Valerian Root Extract,Valerian Root Extract,Valerian Root Extract,Valerian Root Extract,Valerian,Valerian,Valerian,Valerian,fresh Valerian extract,fresh Valerian extract,fresh Valerian extract,fresh Valerian extract,fresh Valerian extract,fresh Valerian extract,Valerian,Valerian,Valerian,fresh Valerian extract,organic Valerian (Valeriana officinalis) root extract,organic Valerian (Valeriana officinalis) root extract,organic Valerian root extract,Valerian root extract,organic Valerian root extract,Valerian Root Extract,fresh Valerian,fresh Valerian,fresh Valerian,Valerian Root Extract,fresh Valerian,Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,fresh Valerian,Valerian,Valerian,fresh Valerian,fresh Valerian,Valerian,fresh Valerian,fresh Valerian,fresh Valerian extract,fresh Valerian,fresh Valerian,Valerian,fresh Valerian,fresh Valerian,fresh Valerian,Valerian root extract,Valerian root extract,Valerian root extract,Valerian root extract,Valerian root extract,Valerian,Valerian,Valerian root freeze-dried extract and powder"
header,67,"Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Menstruum,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Validated Full Spectrum Profile,Calories,Calories,Calories,Calories,Calories,Calories,Extracts of:,Extracts of:,Calories,Calories,Calories,Calories,Calories,Calories,Calories,Extracts of:,Calories,Extracts of,Calories,Calories,Extracts of,Calories,Calories,Extracts of,Calories,Calories,Calories,Infusions of the Flowers of,Infusions of the Flowers of,Infusions of the Flowers of"
lemon balm,66,"Lemon Balm (Melissa officinalis) leaf extract,Lemon Balm (Melissa officinalis) leaf extract,Lemon Balm (Melissa officinalis) leaf extract,Lemon Balm (Melissa officinalis) leaf extract,Lemon Balm (Melissa officinalis) leaf extract,freeze-dried extract of Lemon Balm,freeze-dried extract of Lemon Balm,freeze-dried extract of Lemon Balm,freeze-dried extract of Lemon Balm,freeze-dried extract of Lemon Balm,freeze-dried extract of Lemon Balm,Lemon Balm,Lemon Balm,Lemon Balm,Lemon Balm,Lemon Balm,Lemon Balm,Lemon Balm,fresh Lemon Balm extract,fresh Lemon Balm extract,fresh Lemon Balm extract,fresh Lemon Balm extract,fresh Lemon Balm extract,fresh Lemon Balm extract,Lemon Balm,fresh Lemon Balm extract,Lemon Balm (Melissa officinalis) leaf extract,Lemon Balm herb extract,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm extract,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,fresh Lemon Balm,Lemon Balm Leaf Extract,Lemon Balm extract,Lemon Balm extract,Lemon Balm aerial parts extract,Lemon Balm extract,Lemon Balm extract,Lemon Balm aerial parts extract,Lemon Balm aerial parts extract,Lemon Balm,Lemon Balm,Lemon Balm,Lemon balm leaf freeze-dried extract and powder"
proprietary blend,43,"Proprietary Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend"
